 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |   spec. type    |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |         |         |         |         |         |                 |    |    
----|----------|------|-------------------|---------------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|-----------------|----|----
1   |   1736.51|    96|2022A&A...664A..66M|B              |LS IV -14 29                       |Y*O|18 18 22.3586406576 -14 15 55.821285612|     ~   |11.46    |11.41    |     ~   |     ~   |OB-              |   7|   0
2   |   1730.19|    99|2022A&A...664A..66M|B              |LS IV -14 35                       |Y*O|18 19 51.5172422640 -14 11 26.331931968|     ~   |11.99    |11.54    |     ~   |     ~   |B                |   8|   0
3   |   1875.14|    99|2022A&A...664A..66M|B              |LS IV -14 37                       |Y*O|18 20 39.3521150808 -14 01 57.139558968|     ~   |11.14    |11.16    |     ~   |     ~   |B                |   7|   0
4   |   1074.30|    65|2022A&A...664A..66M|B              |NGC 6611 564                       |Y*?|18 18 03.5454301944 -14 02 18.728636136|     ~   |12.832   |12.336   |     ~   |     ~   |~                |   4|   0
5   |    863.28|    75|2009A&A...496..453G|S              |2MASS J18184205-1401531            |Y*?|18 18 42.0632738544 -14 01 53.332070592|14.539   |13.540   |13.149   |     ~   |12.641   |~                |   5|   0
6   |    863.28|   100|2013MNRAS.434..806B|B              |2MASS J18184205-1401531            |Y*?|18 18 42.0632738544 -14 01 53.332070592|14.539   |13.540   |13.149   |     ~   |12.641   |~                |   5|   0
7   |    892.03|    98|2022A&A...664A..66M|B              |NGC 6611 586                       |Y*O|18 18 50.5181562240 -14 02 19.761414000|     ~   |12.40    |12.54    |     ~   |     ~   |~                |   4|   0
8   |   1224.99|    75|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34079             |Y*?|18 17 44.8583231232 -14 01 46.039623636|     ~   |15.659   |14.923   |     ~   |     ~   |~                |   2|   0
9   |   1298.69|    69|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34102             |Y*?|18 17 50.0308851389 -14 04 32.652993367|     ~   |15.545   |14.744   |     ~   |     ~   |~                |   2|   0
10  |   1147.01|    66|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34086             |Y*?|18 17 55.6102538441 -14 02 23.391909788|     ~   |17.205   |16.254   |     ~   |     ~   |~                |   2|   0
11  |   1272.61|    73|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34112             |Y*?|18 17 57.5672022336 -14 05 19.034444184|     ~   |13.962   |13.262   |     ~   |     ~   |~                |   2|   0
12  |   1264.71|    94|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34114             |Y*O|18 17 59.5856810256 -14 05 28.265113896|     ~   |14.994   |13.125   |     ~   |     ~   |~                |   2|   0
13  |   1141.90|    56|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34097             |Y*?|18 18 04.9875894216 -14 03 52.299352980|     ~   |16.961   |15.918   |     ~   |     ~   |~                |   2|   0
14  |   1024.14|    74|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32026             |Y*?|18 18 10.5596558112 -14 02 23.196628464|     ~   |15.883   |14.348   |     ~   |     ~   |~                |   3|   0
15  |    901.44|    65|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32012             |Y*?|18 18 22.1623599384 -14 01 28.369052544|     ~   |15.722   |14.883   |     ~   |     ~   |~                |   3|   0
16  |    936.10|    62|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32022             |Y*?|18 18 22.4432368152 -14 02 07.140475212|     ~   |16.089   |15.176   |     ~   |     ~   |~                |   3|   0
17  |   1233.86|    84|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32082             |EB*|18 18 25.5408374976 -14 07 31.691266932|     ~   |16.877   |16.010   |     ~   |     ~   |~                |   4|   0
18  |   1231.79|    65|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32086             |Y*?|18 18 32.3780293752 -14 07 48.942476400|     ~   |12.17    |11.62    |     ~   |     ~   |~                |   2|   0
19  |    924.15|    99|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32029             |Y*O|18 18 35.3935467731 -14 02 44.431739381|     ~   |15.288   |14.726   |     ~   |     ~   |~                |   3|   0
20  |   1051.51|    92|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29893             |Y*O|18 18 38.4797843352 -14 04 58.259170848|     ~   |13.456   |12.788   |     ~   |     ~   |~                |   2|   0
21  |   1268.83|    57|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29925             |Y*?|18 18 41.9211142912 -14 08 39.177948353|     ~   |16.046   |15.329   |     ~   |     ~   |~                |   2|   0
22  |   1074.09|    54|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29895             |Y*?|18 18 43.3163049610 -14 05 24.969865953|     ~   |17.431   |16.448   |     ~   |     ~   |~                |   2|   0
23  |   1244.00|    95|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29922             |Y*O|18 18 56.8137844284 -14 08 03.493686514|     ~   |14.814   |14.165   |     ~   |     ~   |~                |   2|   0
24  |   1137.29|    56|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27564             |Y*?|18 19 06.3780242256 -14 05 45.574658772|     ~   |15.639   |14.955   |     ~   |     ~   |~                |   2|   0
25  |   1011.76|    74|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27536             |Y*?|18 19 07.9559499576 -14 03 26.773032420|     ~   |15.859   |15.254   |     ~   |     ~   |~                |   3|   0
26  |    929.83|    75|2010A&A...521A..18G|S              |Cl* NGC 6611 BKP 27511             |*  |18 19 11.916 -14 01 35.22              |     ~   |17.652   |16.552   |     ~   |15.181   |~                |   2|   0
27  |    963.22|   100|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27505             |Y*O|18 19 18.3306222072 -14 01 24.248307648|     ~   |14.458   |14.011   |     ~   |     ~   |~                |   3|   0
28  |    984.05|    89|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27508             |Y*?|18 19 20.7838319550 -14 01 27.093860938|     ~   |16.748   |15.168   |     ~   |     ~   |~                |   2|   0
29  |   1330.34|    83|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27583             |Y*?|18 19 21.1393216224 -14 07 53.852760300|     ~   |15.669   |14.871   |     ~   |     ~   |~                |   2|   0
30  |   1138.47|    84|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27542             |Y*?|18 19 23.9935787496 -14 03 59.027700564|     ~   |17.029   |16.281   |     ~   |     ~   |~                |   2|   0
31  |   1081.12|    75|2009A&A...496..453G|S              |2MASS J18193145-1401357            |Y*?|18 19 31.4495326776 -14 01 36.052373640|     ~   |16.982   |15.917   |     ~   |14.592   |~                |   3|   0
32  |   1081.12|   100|2013MNRAS.434..806B|B              |2MASS J18193145-1401357            |Y*?|18 19 31.4495326776 -14 01 36.052373640|     ~   |16.982   |15.917   |     ~   |14.592   |~                |   3|   0
33  |   1222.44|    99|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 25175             |Y*O|18 19 43.0760313216 -14 02 15.691291368|     ~   |17.295   |16.045   |     ~   |     ~   |~                |   2|   0
34  |   1304.76|    52|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 25150             |Y*?|18 19 56.3383608816 -14 00 43.066511496|     ~   |13.576   |12.744   |     ~   |     ~   |~                |   2|   0
35  |   1063.99|    85|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27530             |Y*?|18 19 18.8087126736 -14 03 15.391612980|     ~   |15.337   |14.779   |     ~   |     ~   |~                |   4|   0
36  |   1078.73|    80|2022A&A...664A..66M|B              |[HMS93] J181934.40-140058.0        |Y*?|18 19 34.3426541140 -14 00 57.419386891|     ~   |16.13    |15.28    |     ~   |     ~   |~                |   2|   0
37  |    813.80|   100|2022A&A...664A..66M|B              |BD-13 4912                         |Y*O|18 17 51.0437589960 -13 50 55.782928464|11.36    |11.32    |10.01    |9.93     |     ~   |B2.5I            |  24|   0
38  |    228.01|    75|2009A&A...496..453G|S              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
39  |    228.01|    97|2013MNRAS.430.1334M|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
40  |    228.01|   100|2013ApJS..209...32B|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
41  |    228.01|   100|2013MNRAS.434..806B|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
42  |    530.73|    80|2020A&A...633A..99C|B              |BD-13 4934                         |Y*O|18 19 05.5681000896 -13 54 50.509739916|9.06     |9.68     |9.54     |     ~   |     ~   |B1Vp             |  37|   0
43  |    530.73|    80|2020A&A...640A...1C|B              |BD-13 4934                         |Y*O|18 19 05.5681000896 -13 54 50.509739916|9.06     |9.68     |9.54     |     ~   |     ~   |B1Vp             |  37|   0
44  |    530.73|    99|2022A&A...664A..66M|B              |BD-13 4934                         |Y*O|18 19 05.5681000896 -13 54 50.509739916|9.06     |9.68     |9.54     |     ~   |     ~   |B1Vp             |  37|   0
45  |   1965.89|    99|2022A&A...664A..66M|B              |BD-13 4946                         |Y*O|18 20 46.4015871792 -13 33 10.922927112|11.69    |11.42    |10.60    |10.29    |     ~   |B0.5III          |  19|   0
46  |   1903.23|    66|2022A&A...664A..66M|B              |LS IV -13 36                       |Y*?|18 20 50.8850487373 -13 38 57.689545065|     ~   |11.23    |10.88    |10.78    |     ~   |B                |   6|   0
47  |    401.38|    90|2020A&A...633A..99C|B              |V* EU Ser                          |Ae*|18 19 09.3931184496 -13 50 41.201118528|14.934   |14.697   |14.158   |     ~   |12.923   |Be               |  33|   0
48  |    401.38|    90|2020A&A...640A...1C|B              |V* EU Ser                          |Ae*|18 19 09.3931184496 -13 50 41.201118528|14.934   |14.697   |14.158   |     ~   |12.923   |Be               |  33|   0
49  |    401.38|    95|2023MNRAS.520.5487M|B              |V* EU Ser                          |Ae*|18 19 09.3931184496 -13 50 41.201118528|14.934   |14.697   |14.158   |     ~   |12.923   |Be               |  33|   0
50  |    401.38|   100|2013MNRAS.434..806B|B              |V* EU Ser                          |Ae*|18 19 09.3931184496 -13 50 41.201118528|14.934   |14.697   |14.158   |     ~   |12.923   |Be               |  33|   0
51  |    523.33|    53|2013MNRAS.430.1334M|B              |2MASS J18180928-1346545            |Y*O|18 18 09.2846308800 -13 46 54.553563588|14.410   |13.963   |12.837   |     ~   |11.292   |B0.5V            |  21|   0
52  |    523.33|    75|2009A&A...496..453G|S              |2MASS J18180928-1346545            |Y*O|18 18 09.2846308800 -13 46 54.553563588|14.410   |13.963   |12.837   |     ~   |11.292   |B0.5V            |  21|   0
53  |    523.33|    88|2022A&A...664A..66M|B              |2MASS J18180928-1346545            |Y*O|18 18 09.2846308800 -13 46 54.553563588|14.410   |13.963   |12.837   |     ~   |11.292   |B0.5V            |  21|   0
54  |    523.33|   100|2013ApJS..209...32B|B              |2MASS J18180928-1346545            |Y*O|18 18 09.2846308800 -13 46 54.553563588|14.410   |13.963   |12.837   |     ~   |11.292   |B0.5V            |  21|   0
55  |    523.33|   100|2013MNRAS.434..806B|B              |2MASS J18180928-1346545            |Y*O|18 18 09.2846308800 -13 46 54.553563588|14.410   |13.963   |12.837   |     ~   |11.292   |B0.5V            |  21|   0
56  |    578.25|    88|2022A&A...664A..66M|B              |NGC 6611 35                        |Y*?|18 18 11.3491740121 -13 52 35.237664470|     ~   |14.63    |14.11    |     ~   |     ~   |A0V              |   8|   0
57  |    578.25|    90|2020A&A...633A..99C|B              |NGC 6611 35                        |Y*?|18 18 11.3491740121 -13 52 35.237664470|     ~   |14.63    |14.11    |     ~   |     ~   |A0V              |   8|   0
58  |    578.25|    90|2020A&A...640A...1C|B              |NGC 6611 35                        |Y*?|18 18 11.3491740121 -13 52 35.237664470|     ~   |14.63    |14.11    |     ~   |     ~   |A0V              |   8|   0
59  |    567.14|     0|2013ApJS..209...32B|B              |NGC 6611 94                        |EB*|18 18 21.7764334980 -13 55 05.147155779|13.952   |13.697   |12.821   |     ~   |11.859   |~                |   8|   0
60  |    567.14|     0|2023MNRAS.520.5487M|B              |NGC 6611 94                        |EB*|18 18 21.7764334980 -13 55 05.147155779|13.952   |13.697   |12.821   |     ~   |11.859   |~                |   8|   0
61  |    453.08|    94|2022A&A...664A..66M|B              |NGC 6611 112                       |Y*O|18 18 25.2191742672 -13 53 19.434041340|14.52    |14.40    |13.89    |     ~   |     ~   |Ae               |  14|   0
62  |    453.08|   100|2018A&A...618A..93C|B              |NGC 6611 112                       |Y*O|18 18 25.2191742672 -13 53 19.434041340|14.52    |14.40    |13.89    |     ~   |     ~   |Ae               |  14|   0
63  |    453.08|   100|2020A&A...633A..99C|B              |NGC 6611 112                       |Y*O|18 18 25.2191742672 -13 53 19.434041340|14.52    |14.40    |13.89    |     ~   |     ~   |Ae               |  14|   0
64  |    453.08|   100|2020A&A...640A...1C|B              |NGC 6611 112                       |Y*O|18 18 25.2191742672 -13 53 19.434041340|14.52    |14.40    |13.89    |     ~   |     ~   |Ae               |  14|   0
65  |    519.11|     0|2023MNRAS.520.5487M|B              |NGC 6611 135                       |dS*|18 18 27.7938092664 -13 55 04.856803284|14.176   |13.63    |12.93    |     ~   |11.921   |F0III-V          |   8|   0
66  |    426.08|    21|2023MNRAS.520.5487M|B              |2MASS J18183371-1340588            |Y*O|18 18 33.7211826576 -13 40 58.827802656|14.44    |14.604   |13.019   |     ~   |10.864   |B0V              |  18|   0
67  |    426.08|    75|2009A&A...496..453G|S              |2MASS J18183371-1340588            |Y*O|18 18 33.7211826576 -13 40 58.827802656|14.44    |14.604   |13.019   |     ~   |10.864   |B0V              |  18|   0
68  |    426.08|   100|2013ApJS..209...32B|B              |2MASS J18183371-1340588            |Y*O|18 18 33.7211826576 -13 40 58.827802656|14.44    |14.604   |13.019   |     ~   |10.864   |B0V              |  18|   0
69  |    191.47|    90|2020A&A...633A..99C|B              |NGC 6611 202                       |Y*O|18 18 36.0133590282 -13 45 13.141419085|     ~   |15.2     |14.40    |     ~   |     ~   |A0               |  16|   0
70  |    191.47|    90|2020A&A...640A...1C|B              |NGC 6611 202                       |Y*O|18 18 36.0133590282 -13 45 13.141419085|     ~   |15.2     |14.40    |     ~   |     ~   |A0               |  16|   0
71  |    191.47|   100|2022A&A...664A..66M|B              |NGC 6611 202                       |Y*O|18 18 36.0133590282 -13 45 13.141419085|     ~   |15.2     |14.40    |     ~   |     ~   |A0               |  16|   0
72  |    274.98|    98|2022A&A...664A..66M|B              |NGC 6611 194                       |Y*O|18 18 36.3151355472 -13 51 34.439606280|     ~   |14.38    |13.80    |     ~   |     ~   |B9               |  12|   0
73  |    274.98|   100|2018A&A...618A..93C|B              |NGC 6611 194                       |Y*O|18 18 36.3151355472 -13 51 34.439606280|     ~   |14.38    |13.80    |     ~   |     ~   |B9               |  12|   0
74  |    274.98|   100|2020A&A...633A..99C|B              |NGC 6611 194                       |Y*O|18 18 36.3151355472 -13 51 34.439606280|     ~   |14.38    |13.80    |     ~   |     ~   |B9               |  12|   0
75  |    274.98|   100|2020A&A...640A...1C|B              |NGC 6611 194                       |Y*O|18 18 36.3151355472 -13 51 34.439606280|     ~   |14.38    |13.80    |     ~   |     ~   |B9               |  12|   0
76  |    122.10|    80|2007AJ....133.1092W|S              |NGC 6611 207                       |Y*O|18 18 36.7391608848 -13 47 33.067922460|12.32    |12.57    |12.05    |     ~   |     ~   |B1Ve             |  28|   0
77  |    122.10|   100|2013ApJS..209...32B|B              |NGC 6611 207                       |Y*O|18 18 36.7391608848 -13 47 33.067922460|12.32    |12.57    |12.05    |     ~   |     ~   |B1Ve             |  28|   0
78  |    122.10|   100|2018A&A...618A..93C|B              |NGC 6611 207                       |Y*O|18 18 36.7391608848 -13 47 33.067922460|12.32    |12.57    |12.05    |     ~   |     ~   |B1Ve             |  28|   0
79  |    122.10|   100|2020A&A...633A..99C|B              |NGC 6611 207                       |Y*O|18 18 36.7391608848 -13 47 33.067922460|12.32    |12.57    |12.05    |     ~   |     ~   |B1Ve             |  28|   0
80  |    122.10|   100|2020A&A...640A...1C|B              |NGC 6611 207                       |Y*O|18 18 36.7391608848 -13 47 33.067922460|12.32    |12.57    |12.05    |     ~   |     ~   |B1Ve             |  28|   0
81  |    211.77|    75|2009A&A...496..453G|S              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
82  |    211.77|    90|2020A&A...633A..99C|B              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
83  |    211.77|    90|2020A&A...640A...1C|B              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
84  |    211.77|    95|2022A&A...664A..66M|B              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
85  |    211.77|   100|2013ApJS..209...32B|B              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
86  |    211.77|   100|2013MNRAS.434..806B|B              |NGC 6611 228                       |Y*O|18 18 38.1383029656 -13 44 25.457011836|14.931   |14.35    |13.42    |     ~   |11.843   |B1.5Vp           |  21|   0
87  |    132.45|    86|2022A&A...664A..66M|B              |NGC 6611 240                       |Y*?|18 18 39.5056777884 -13 49 15.381903738|     ~   |13.15    |12.60    |     ~   |     ~   |B                |  12|   0
88  |    132.45|    90|2020A&A...633A..99C|B              |NGC 6611 240                       |Y*?|18 18 39.5056777884 -13 49 15.381903738|     ~   |13.15    |12.60    |     ~   |     ~   |B                |  12|   0
89  |    132.45|    90|2020A&A...640A...1C|B              |NGC 6611 240                       |Y*?|18 18 39.5056777884 -13 49 15.381903738|     ~   |13.15    |12.60    |     ~   |     ~   |B                |  12|   0
90  |    218.15|    99|2022A&A...664A..66M|B              |NGC 6611 238                       |Y*O|18 18 39.5994140712 -13 50 53.993374728|     ~   |14.04    |13.37    |13.53    |12.38    |A2IV             |  10|   0
91  |    218.15|   100|2018A&A...618A..93C|B              |NGC 6611 238                       |Y*O|18 18 39.5994140712 -13 50 53.993374728|     ~   |14.04    |13.37    |13.53    |12.38    |A2IV             |  10|   0
92  |    218.15|   100|2020A&A...633A..99C|B              |NGC 6611 238                       |Y*O|18 18 39.5994140712 -13 50 53.993374728|     ~   |14.04    |13.37    |13.53    |12.38    |A2IV             |  10|   0
93  |    218.15|   100|2020A&A...640A...1C|B              |NGC 6611 238                       |Y*O|18 18 39.5994140712 -13 50 53.993374728|     ~   |14.04    |13.37    |13.53    |12.38    |A2IV             |  10|   0
94  |     79.34|    75|2009A&A...496..453G|S              |NGC 6611 245                       |Y*?|18 18 40.0888470456 -13 47 00.829161204|15.334   |14.431   |13.512   |     ~   |12.225   |A0               |  20|   0
95  |     79.34|   100|2013ApJS..209...32B|B              |NGC 6611 245                       |Y*?|18 18 40.0888470456 -13 47 00.829161204|15.334   |14.431   |13.512   |     ~   |12.225   |A0               |  20|   0
96  |     79.34|   100|2013MNRAS.434..806B|B              |NGC 6611 245                       |Y*?|18 18 40.0888470456 -13 47 00.829161204|15.334   |14.431   |13.512   |     ~   |12.225   |A0               |  20|   0
97  |     86.62|    50|2020A&A...633A..99C|B              |NGC 6611 262                       |EB*|18 18 41.5439740971 -13 48 40.403404277|14.55    |14.534   |13.792   |     ~   |12.814   |Ae               |  17|   0
98  |     86.62|    82|2023MNRAS.520.5487M|B              |NGC 6611 262                       |EB*|18 18 41.5439740971 -13 48 40.403404277|14.55    |14.534   |13.792   |     ~   |12.814   |Ae               |  17|   0
99  |     86.62|    83|2022A&A...664A..66M|B              |NGC 6611 262                       |EB*|18 18 41.5439740971 -13 48 40.403404277|14.55    |14.534   |13.792   |     ~   |12.814   |Ae               |  17|   0
100 |     85.02|    75|2009A&A...496..453G|S              |2MASS J18184247-1348469            |Y*O|18 18 42.4812343296 -13 48 47.035928232|     ~   |14.39    |13.58    |     ~   |12.744   |B                |  15|   0
101 |     85.02|    80|2020A&A...633A..99C|B              |2MASS J18184247-1348469            |Y*O|18 18 42.4812343296 -13 48 47.035928232|     ~   |14.39    |13.58    |     ~   |12.744   |B                |  15|   0
102 |     85.02|    80|2020A&A...640A...1C|B              |2MASS J18184247-1348469            |Y*O|18 18 42.4812343296 -13 48 47.035928232|     ~   |14.39    |13.58    |     ~   |12.744   |B                |  15|   0
103 |     85.02|   100|2013ApJS..209...32B|B              |2MASS J18184247-1348469            |Y*O|18 18 42.4812343296 -13 48 47.035928232|     ~   |14.39    |13.58    |     ~   |12.744   |B                |  15|   0
104 |     85.02|   100|2013MNRAS.434..806B|B              |2MASS J18184247-1348469            |Y*O|18 18 42.4812343296 -13 48 47.035928232|     ~   |14.39    |13.58    |     ~   |12.744   |B                |  15|   0
105 |     58.42|    96|2022A&A...664A..66M|B              |NGC 6611 281                       |Y*O|18 18 42.8896213392 -13 46 42.652860492|14.58    |14.39    |13.80    |     ~   |     ~   |Ae               |  17|   0
106 |     58.42|   100|2018A&A...618A..93C|B              |NGC 6611 281                       |Y*O|18 18 42.8896213392 -13 46 42.652860492|14.58    |14.39    |13.80    |     ~   |     ~   |Ae               |  17|   0
107 |     58.42|   100|2020A&A...633A..99C|B              |NGC 6611 281                       |Y*O|18 18 42.8896213392 -13 46 42.652860492|14.58    |14.39    |13.80    |     ~   |     ~   |Ae               |  17|   0
108 |     58.42|   100|2020A&A...640A...1C|B              |NGC 6611 281                       |Y*O|18 18 42.8896213392 -13 46 42.652860492|14.58    |14.39    |13.80    |     ~   |     ~   |Ae               |  17|   0
109 |    108.28|    75|2009A&A...496..453G|S              |NGC 6611 299                       |Ae*|18 18 45.0886897464 -13 49 19.481791476|16.068   |15.211   |14.313   |     ~   |13.359   |A3/5             |  18|   0
110 |    108.28|   100|2013ApJS..209...32B|B              |NGC 6611 299                       |Ae*|18 18 45.0886897464 -13 49 19.481791476|16.068   |15.211   |14.313   |     ~   |13.359   |A3/5             |  18|   0
111 |    108.28|   100|2013MNRAS.434..806B|B              |NGC 6611 299                       |Ae*|18 18 45.0886897464 -13 49 19.481791476|16.068   |15.211   |14.313   |     ~   |13.359   |A3/5             |  18|   0
112 |    110.18|    80|2007AJ....133.1092W|S              |NGC 6611 306                       |Y*O|18 18 45.0318984936 -13 45 41.023635984|13.23    |13.35    |12.72    |     ~   |     ~   |B1.5Ve           |  31|   0
113 |    110.18|   100|2018A&A...618A..93C|B              |NGC 6611 306                       |Y*O|18 18 45.0318984936 -13 45 41.023635984|13.23    |13.35    |12.72    |     ~   |     ~   |B1.5Ve           |  31|   0
114 |    110.18|   100|2020A&A...633A..99C|B              |NGC 6611 306                       |Y*O|18 18 45.0318984936 -13 45 41.023635984|13.23    |13.35    |12.72    |     ~   |     ~   |B1.5Ve           |  31|   0
115 |    110.18|   100|2020A&A...640A...1C|B              |NGC 6611 306                       |Y*O|18 18 45.0318984936 -13 45 41.023635984|13.23    |13.35    |12.72    |     ~   |     ~   |B1.5Ve           |  31|   0
116 |    110.18|   100|2022A&A...664A..66M|B              |NGC 6611 306                       |Y*O|18 18 45.0318984936 -13 45 41.023635984|13.23    |13.35    |12.72    |     ~   |     ~   |B1.5Ve           |  31|   0
117 |    426.22|     0|2023MNRAS.520.5487M|B              |NGC 6611 310                       |Y*O|18 18 46.1271916305 -13 54 37.165958507|15.153   |14.37    |13.59    |     ~   |12.591   |~                |  14|   0
118 |    426.22|    75|2009A&A...496..453G|S              |NGC 6611 310                       |Y*O|18 18 46.1271916305 -13 54 37.165958507|15.153   |14.37    |13.59    |     ~   |12.591   |~                |  14|   0
119 |    426.22|   100|2013ApJS..209...32B|B              |NGC 6611 310                       |Y*O|18 18 46.1271916305 -13 54 37.165958507|15.153   |14.37    |13.59    |     ~   |12.591   |~                |  14|   0
120 |    426.22|   100|2013MNRAS.434..806B|B              |NGC 6611 310                       |Y*O|18 18 46.1271916305 -13 54 37.165958507|15.153   |14.37    |13.59    |     ~   |12.591   |~                |  14|   0
121 |     38.07|    90|2020A&A...633A..99C|B              |NGC 6611 322                       |Y*O|18 18 46.6060913616 -13 46 59.886730956|14.39    |14.3     |13.68    |     ~   |12.618   |B8V:e            |  19|   0
122 |     38.07|    90|2020A&A...640A...1C|B              |NGC 6611 322                       |Y*O|18 18 46.6060913616 -13 46 59.886730956|14.39    |14.3     |13.68    |     ~   |12.618   |B8V:e            |  19|   0
123 |     38.07|    96|2023MNRAS.520.5487M|B              |NGC 6611 322                       |Y*O|18 18 46.6060913616 -13 46 59.886730956|14.39    |14.3     |13.68    |     ~   |12.618   |B8V:e            |  19|   0
124 |     38.07|    98|2022A&A...664A..66M|B              |NGC 6611 322                       |Y*O|18 18 46.6060913616 -13 46 59.886730956|14.39    |14.3     |13.68    |     ~   |12.618   |B8V:e            |  19|   0
125 |     38.07|   100|2013ApJS..209...32B|B              |NGC 6611 322                       |Y*O|18 18 46.6060913616 -13 46 59.886730956|14.39    |14.3     |13.68    |     ~   |12.618   |B8V:e            |  19|   0
126 |    338.19|    75|2009A&A...496..453G|S              |2MASS J18185025-1353009            |Y*O|18 18 50.2574345016 -13 53 01.004092404|14.805   |13.939   |13.210   |12.94    |12.331   |F0V              |  10|   0
127 |    338.19|   100|2013ApJS..209...32B|B              |2MASS J18185025-1353009            |Y*O|18 18 50.2574345016 -13 53 01.004092404|14.805   |13.939   |13.210   |12.94    |12.331   |F0V              |  10|   0
128 |    338.19|   100|2013MNRAS.434..806B|B              |2MASS J18185025-1353009            |Y*O|18 18 50.2574345016 -13 53 01.004092404|14.805   |13.939   |13.210   |12.94    |12.331   |F0V              |  10|   0
129 |    155.77|    75|2009A&A...496..453G|S              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
130 |    155.77|    80|2020A&A...633A..99C|B              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
131 |    155.77|    80|2020A&A...640A...1C|B              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
132 |    155.77|    94|2022A&A...664A..66M|B              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
133 |    155.77|   100|2013ApJS..209...32B|B              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
134 |    155.77|   100|2013MNRAS.434..806B|B              |NGC 6611 364                       |Y*O|18 18 52.1000306064 -13 49 29.207834256|     ~   |13.982   |13.403   |     ~   |12.491   |B7V              |  15|   0
